
#################################################################
Log started at 2025-06-12_14-01-03 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: d78e, Got: 85a0
Checksum failed. Expected: ac68, Got: 24dd
Checksum failed. Expected: 77c3, Got: 3958
Checksum failed. Expected: ddb0, Got: 4dd2
Checksum failed. Expected: 29ac, Got: 624d
Checksum failed. Expected: 4355, Got: 76c8
Checksum failed. Expected: 5af4, Got: 8b43
Checksum failed. Expected: 115c, Got: 9fbe
Checksum failed. Expected: 4966, Got: b439
Checksum failed. Expected: edfd, Got: c8b4
Checksum failed. Expected: 8b69, Got: dd2f
Checksum failed. Expected: c788, Got: f1a9
Checksum failed. Expected: 31c4, Got: 0624
Checksum failed. Expected: d00c, Got: 1a9f
Checksum failed. Expected: 407e, Got: 2f1a
Checksum failed. Expected: 20a9, Got: 4395
Checksum failed. Expected: eb04, Got: 5810
Checksum failed. Expected: 4fdb, Got: 6c8b
Checksum failed. Expected: 9369, Got: 8106
Checksum failed. Expected: 8ca7, Got: 9581
Checksum failed. Expected: 80c5, Got: a9fb
Checksum failed. Expected: 300d, Got: be76
Checksum failed. Expected: 8fad, Got: d2f1
Checksum failed. Expected: 3fdf, Got: e76c
Checksum failed. Expected: b150, Got: fbe7
Checksum failed. Expected: cf32, Got: 1062
Checksum failed. Expected: 74bc, Got: 24dd
Checksum failed. Expected: 54fe, Got: 3958
Checksum failed. Expected: a1d8, Got: 4dd2
Checksum failed. Expected: 76b7, Got: 624d
Checksum failed. Expected: 7321, Got: 76c8
Checksum failed. Expected: 4c16, Got: 8b43
Checksum failed. Expected: 82f3, Got: 9fbe
Checksum failed. Expected: e8f7, Got: b439
Checksum failed. Expected: 2200, Got: c8b4
Checksum failed. Expected: aa7a, Got: dd2f
Checksum failed. Expected: 555e, Got: f1a9
Checksum failed. Expected: 80e5, Got: 0624
Checksum failed. Expected: dc4c, Got: 1a9f
Checksum failed. Expected: 039b, Got: 2f1a

Exiting...
