
#################################################################
Log started at 2025-06-12_14-00-45 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: d78e, Got: 85a0
Checksum failed. Expected: 1fae, Got: ed91
Checksum failed. Expected: ab4a, Got: 020c
Checksum failed. Expected: 7034, Got: 1687
Checksum failed. Expected: d20c, Got: 2b02
Checksum failed. Expected: 5a6f, Got: 3f7c
Checksum failed. Expected: dbb2, Got: 53f7
Checksum failed. Expected: e9ee, Got: 6872
Checksum failed. Expected: b53d, Got: 7ced
Checksum failed. Expected: c26e, Got: 9168
Checksum failed. Expected: 950a, Got: a5e3
Checksum failed. Expected: 5702, Got: ba5e
Checksum failed. Expected: e6b2, Got: ced9
Checksum failed. Expected: 6e2c, Got: e353
Checksum failed. Expected: 7b5c, Got: f7ce
Checksum failed. Expected: f532, Got: 0c49
Checksum failed. Expected: 9ff3, Got: 20c4
Checksum failed. Expected: fb89, Got: 353f
Checksum failed. Expected: 7552, Got: 49ba
Checksum failed. Expected: b9e0, Got: 5e35
Checksum failed. Expected: b21e, Got: 72b0
Checksum failed. Expected: 192d, Got: 872b
Checksum failed. Expected: 3b2e, Got: 9ba5
Checksum failed. Expected: 5504, Got: b020
Checksum failed. Expected: 7810, Got: c49b
Checksum failed. Expected: ba88, Got: d916
Checksum failed. Expected: cac3, Got: ed91
Checksum failed. Expected: da0b, Got: 020c
Checksum failed. Expected: 6256, Got: 1687
Checksum failed. Expected: 683a, Got: 2b02
Checksum failed. Expected: 174a, Got: 3f7c
Checksum failed. Expected: b6d7, Got: 53f7
Checksum failed. Expected: 8ba0, Got: 6872
Checksum failed. Expected: 3dd1, Got: 7ced
Checksum failed. Expected: 4f39, Got: 9168
Checksum failed. Expected: dee9, Got: a5e3
Checksum failed. Expected: 0964, Got: ba5e
Checksum failed. Expected: 60ac, Got: ced9
Checksum failed. Expected: 7a6c, Got: e353
Checksum failed. Expected: 673c, Got: f7ce
Checksum failed. Expected: 94c3, Got: 0c49
Checksum failed. Expected: 6105, Got: 20c4
Checksum failed. Expected: 5739, Got: 353f
Checksum failed. Expected: 6ec1, Got: 49ba
Checksum failed. Expected: c2ff, Got: 5e35
Checksum failed. Expected: ce0e, Got: 72b0
Checksum failed. Expected: eae4, Got: 872b
Checksum failed. Expected: 4a8f, Got: 9ba5
Checksum failed. Expected: 3560, Got: b020
Checksum failed. Expected: 9721, Got: c49b
Checksum failed. Expected: fa04, Got: d916
Checksum failed. Expected: 514c, Got: ed91
Checksum failed. Expected: dffe, Got: 020c
Checksum failed. Expected: 72c2, Got: 1687
Checksum failed. Expected: 446a, Got: 2b02
Checksum failed. Expected: 4716, Got: 3f7c
Checksum failed. Expected: 73b2, Got: 53f7
Checksum failed. Expected: a043, Got: 6872

Exiting...
