
#################################################################
Log started at 2025-06-12_15-13-08 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: d78e, Got: 85a0
Checksum failed. Expected: fe7c, Got: b4fd
Checksum failed. Expected: e3db, Got: b78d
Checksum failed. Expected: 4998, Got: ba1c
Checksum failed. Expected: 9442, Got: bcac
Checksum failed. Expected: 3068, Got: bf3b
Checksum failed. Expected: 71a4, Got: c1ca
Checksum failed. Expected: 9c05, Got: c45a
Checksum failed. Expected: 3b35, Got: c6e9
Checksum failed. Expected: c28a, Got: c978
Checksum failed. Expected: 8130, Got: cc08
Checksum failed. Expected: dd7f, Got: ce97
Checksum failed. Expected: d9db, Got: d126
Checksum failed. Expected: bb02, Got: d3b6
Checksum failed. Expected: 0281, Got: d645
Checksum failed. Expected: 0408, Got: d8d4
Checksum failed. Expected: d9b7, Got: db64
Checksum failed. Expected: 8255, Got: ddf3
Checksum failed. Expected: 290a, Got: e083
Checksum failed. Expected: 06e4, Got: e312
Checksum failed. Expected: 7c67, Got: e5a1
Checksum failed. Expected: 4271, Got: e831
Checksum failed. Expected: ccba, Got: eac0
Checksum failed. Expected: 7690, Got: ed4f
Checksum failed. Expected: 2370, Got: efdf
Checksum failed. Expected: 54fd, Got: f26e
Checksum failed. Expected: 985a, Got: f4fd
Checksum failed. Expected: f5e1, Got: f78d
Checksum failed. Expected: 9c69, Got: fa1c
Checksum failed. Expected: c7b3, Got: fcac
Checksum failed. Expected: 0d27, Got: ff3b
Checksum failed. Expected: 15e6, Got: 01ca
Checksum failed. Expected: f70c, Got: 045a
Checksum failed. Expected: 4e24, Got: 06e9
Checksum failed. Expected: 6288, Got: 0978
Checksum failed. Expected: 1cf7, Got: 0c08
Checksum failed. Expected: 7951, Got: 0e97
Checksum failed. Expected: 380e, Got: 1126
Checksum failed. Expected: 24a3, Got: 13b6
Checksum failed. Expected: b33a, Got: 1645
Checksum failed. Expected: 3b83, Got: 18d4
Checksum failed. Expected: 7ac0, Got: 1b64
Checksum failed. Expected: d504, Got: 1df3
Checksum failed. Expected: 63a6, Got: 2083
Checksum failed. Expected: 90f0, Got: 2312
Checksum failed. Expected: 97ae, Got: 25a1
Checksum failed. Expected: dd38, Got: 2831
Checksum failed. Expected: 9ede, Got: 2ac0
Checksum failed. Expected: bec6, Got: 2d4f
Checksum failed. Expected: 6dbc, Got: 2fdf
Checksum failed. Expected: 414a, Got: 326e
Checksum failed. Expected: 2692, Got: 34fd
Checksum failed. Expected: 990b, Got: 378d
Checksum failed. Expected: ac37, Got: 3a1c
Checksum failed. Expected: 358b, Got: 3cac
Checksum failed. Expected: 2658, Got: 3f3b
Checksum failed. Expected: cceb, Got: 41ca
Checksum failed. Expected: e79c, Got: 445a
Checksum failed. Expected: 72f0, Got: 46e9
Checksum failed. Expected: 03b3, Got: 4978
Checksum failed. Expected: e1ae, Got: 4c08
Checksum failed. Expected: 4876, Got: 4e97
Checksum failed. Expected: c87e, Got: 5126
Checksum failed. Expected: acbb, Got: 53b6
Checksum failed. Expected: f22f, Got: 5645
Checksum failed. Expected: 0787, Got: 58d4
Checksum failed. Expected: 5569, Got: 5b64
Checksum failed. Expected: d00d, Got: 5df3
Checksum failed. Expected: 4386, Got: 6083
Checksum failed. Expected: 3547, Got: 6312
Checksum failed. Expected: aabf, Got: 65a1
Checksum failed. Expected: 226f, Got: 6831
Checksum failed. Expected: 1646, Got: 6ac0
Checksum failed. Expected: 5cd0, Got: 6d4f
Checksum failed. Expected: 079a, Got: 6fdf
Checksum failed. Expected: 0817, Got: 726e
Checksum failed. Expected: 2b09, Got: 74fd
Checksum failed. Expected: 46ba, Got: 778d
Checksum failed. Expected: e0b3, Got: 7a1c
Checksum failed. Expected: 7cd8, Got: 7cac
Checksum failed. Expected: e2ac, Got: 7f3b
Checksum failed. Expected: e21d, Got: 81ca
Checksum failed. Expected: 7817, Got: 845a
Checksum failed. Expected: c4b6, Got: 86e9
Checksum failed. Expected: a4de, Got: 8978
Checksum failed. Expected: 55ea, Got: 8c08
Checksum failed. Expected: 6600, Got: 8e97
Checksum failed. Expected: 055d, Got: 9126
Checksum failed. Expected: e679, Got: 93b6
Checksum failed. Expected: df9e, Got: 9645
Checksum failed. Expected: 2e74, Got: 98d4
Checksum failed. Expected: 3975, Got: 9b64
Checksum failed. Expected: 639e, Got: 9df3
Checksum failed. Expected: 7a23, Got: a083
Checksum failed. Expected: 7331, Got: a312
Checksum failed. Expected: 8352, Got: a5a1
Checksum failed. Expected: 1e83, Got: a831
Checksum failed. Expected: 4480, Got: aac0
Checksum failed. Expected: 9799, Got: ad4f
Checksum failed. Expected: bdac, Got: afdf
Checksum failed. Expected: 55a6, Got: b26e
Checksum failed. Expected: d48c, Got: b4fd
Checksum failed. Expected: fccc, Got: b78d
Checksum failed. Expected: d364, Got: ba1c
Checksum failed. Expected: 212f, Got: bcac
Checksum failed. Expected: 6ffb, Got: bf3b
Checksum failed. Expected: fb70, Got: c1ca
Checksum failed. Expected: b817, Got: c45a
Checksum failed. Expected: 61b5, Got: c6e9
Checksum failed. Expected: b3c3, Got: c978
Checksum failed. Expected: d5aa, Got: cc08
Checksum failed. Expected: ca8c, Got: ce97
Checksum failed. Expected: 2d55, Got: d126
Checksum failed. Expected: e9da, Got: d3b6
Checksum failed. Expected: 4b82, Got: d645
Checksum failed. Expected: 34f6, Got: d8d4
Checksum failed. Expected: 3373, Got: db64
Checksum failed. Expected: 1479, Got: ddf3
Checksum failed. Expected: 9376, Got: e083
Checksum failed. Expected: 9d3f, Got: e312
Checksum failed. Expected: c994, Got: e5a1
Checksum failed. Expected: b435, Got: e831
Checksum failed. Expected: fca8, Got: eac0
Checksum failed. Expected: dff1, Got: ed4f
Checksum failed. Expected: 71a8, Got: efdf
Checksum failed. Expected: 24cb, Got: f26e
Checksum failed. Expected: 9c64, Got: f4fd
Checksum failed. Expected: 1c6c, Got: f78d
Checksum failed. Expected: 9d52, Got: fa1c
Checksum failed. Expected: 2ad2, Got: fcac
Checksum failed. Expected: 5c6a, Got: ff3b
Checksum failed. Expected: 869f, Got: 01ca
Checksum failed. Expected: 7449, Got: 045a
Checksum failed. Expected: 296b, Got: 06e9
Checksum failed. Expected: 40f0, Got: 0978
Checksum failed. Expected: b13c, Got: 0c08
Checksum failed. Expected: a2f2, Got: 0e97
Checksum failed. Expected: d5ab, Got: 1126
Checksum failed. Expected: cbae, Got: 13b6
Checksum failed. Expected: ca15, Got: 1645
Checksum failed. Expected: f349, Got: 18d4
Checksum failed. Expected: 1547, Got: 1b64
Checksum failed. Expected: 2447, Got: 1df3
Checksum failed. Expected: 4b7c, Got: 2083
Checksum failed. Expected: 0c22, Got: 2312
Checksum failed. Expected: 25a6, Got: 25a1
Checksum failed. Expected: 64e3, Got: 2831
Checksum failed. Expected: 2eec, Got: 2ac0
Checksum failed. Expected: 134b, Got: 2d4f
Checksum failed. Expected: 40ab, Got: 2fdf
Checksum failed. Expected: f2c3, Got: 326e
Checksum failed. Expected: 42a4, Got: 34fd
Checksum failed. Expected: eb6f, Got: 378d
Checksum failed. Expected: 07fe, Got: 3a1c
Checksum failed. Expected: 2082, Got: 3cac
Checksum failed. Expected: fe7e, Got: 3f3b
Checksum failed. Expected: 4607, Got: 41ca
Checksum failed. Expected: c2e3, Got: 445a
Checksum failed. Expected: 3b71, Got: 46e9
Checksum failed. Expected: 8206, Got: 4978
Checksum failed. Expected: 3633, Got: 4c08
Checksum failed. Expected: c07c, Got: 4e97
Checksum failed. Expected: 90f4, Got: 5126
Checksum failed. Expected: b1d0, Got: 53b6
Checksum failed. Expected: 18af, Got: 5645
Checksum failed. Expected: e6fa, Got: 58d4
Checksum failed. Expected: 4ce4, Got: 5b64
Checksum failed. Expected: 84a7, Got: 5df3
Checksum failed. Expected: 3093, Got: 6083
Checksum failed. Expected: 8169, Got: 6312
Checksum failed. Expected: 3f04, Got: 65a1
Checksum failed. Expected: e9da, Got: 6831
Checksum failed. Expected: faf0, Got: 6ac0
Checksum failed. Expected: ecde, Got: 6d4f
Checksum failed. Expected: 6582, Got: 6fdf
Checksum failed. Expected: 960f, Got: 726e
Checksum failed. Expected: b3bf, Got: 74fd
Checksum failed. Expected: d086, Got: 778d
Checksum failed. Expected: a0d1, Got: 7a1c
Checksum failed. Expected: 1a80, Got: 7cac
Checksum failed. Expected: 8ff9, Got: 7f3b
Checksum failed. Expected: 7441, Got: 81ca
Checksum failed. Expected: 535e, Got: 845a
Checksum failed. Expected: b1c3, Got: 86e9
Checksum failed. Expected: 8351, Got: 8978
Checksum failed. Expected: b5e8, Got: 8c08
Checksum failed. Expected: 5739, Got: 8e97
Checksum failed. Expected: 924a, Got: 9126
Checksum failed. Expected: 3bfe, Got: 93b6
Checksum failed. Expected: d619, Got: 9645
Checksum failed. Expected: e850, Got: 98d4
Checksum failed. Expected: 3d7f, Got: 9b64
Checksum failed. Expected: 5f50, Got: 9df3
Checksum failed. Expected: 17c0, Got: a083
Checksum failed. Expected: c05e, Got: a312
Checksum failed. Expected: ea9d, Got: a5a1
Checksum failed. Expected: 58df, Got: a831
Checksum failed. Expected: f2d8, Got: aac0
Checksum failed. Expected: b5c1, Got: ad4f
Checksum failed. Expected: 5b54, Got: afdf
Checksum failed. Expected: ca8b, Got: b26e
Checksum failed. Expected: 2a1c, Got: b4fd
Checksum failed. Expected: 8cda, Got: b78d
Checksum failed. Expected: 7001, Got: ba1c
Checksum failed. Expected: 5eac, Got: bcac
Checksum failed. Expected: 12da, Got: bf3b
Checksum failed. Expected: 4fea, Got: c1ca
Checksum failed. Expected: 4e67, Got: c45a
Checksum failed. Expected: 98f0, Got: c6e9
Checksum failed. Expected: 3000, Got: c978
Checksum failed. Expected: 7568, Got: cc08
Checksum failed. Expected: 5563, Got: ce97
Checksum failed. Expected: 23c5, Got: d126
Checksum failed. Expected: f21b, Got: d3b6
Checksum failed. Expected: 7318, Got: d645
Checksum failed. Expected: 426e, Got: d8d4
Checksum failed. Expected: fdff, Got: db64
Checksum failed. Expected: 1241, Got: ddf3
Checksum failed. Expected: 0c87, Got: e083
Checksum failed. Expected: 607e, Got: e312
Checksum failed. Expected: 2dbe, Got: e5a1
Checksum failed. Expected: a358, Got: e831
Checksum failed. Expected: b042, Got: eac0
Checksum failed. Expected: d135, Got: ed4f
Checksum failed. Expected: e477, Got: efdf
Checksum failed. Expected: 84c9, Got: f26e
Checksum failed. Expected: bdad, Got: f4fd
Checksum failed. Expected: cac4, Got: f78d
Checksum failed. Expected: f0c1, Got: fa1c
Checksum failed. Expected: e5b9, Got: fcac
Checksum failed. Expected: 53e5, Got: ff3b
Checksum failed. Expected: c748, Got: 01ca
Checksum failed. Expected: d126, Got: 045a
Checksum failed. Expected: 35cd, Got: 06e9
Checksum failed. Expected: a630, Got: 0978
Checksum failed. Expected: 018a, Got: 0c08
Checksum failed. Expected: d0ca, Got: 0e97
Checksum failed. Expected: 5509, Got: 1126
Checksum failed. Expected: ecf7, Got: 13b6
Checksum failed. Expected: d677, Got: 1645
Checksum failed. Expected: aa04, Got: 18d4
Checksum failed. Expected: b4fa, Got: 1b64
Checksum failed. Expected: 4bd2, Got: 1df3
Checksum failed. Expected: 81ac, Got: 2083
Checksum failed. Expected: ff71, Got: 2312
Checksum failed. Expected: 3b76, Got: 25a1
Checksum failed. Expected: 7471, Got: 2831
Checksum failed. Expected: a913, Got: 2ac0
Checksum failed. Expected: 7454, Got: 2d4f
Checksum failed. Expected: 7c1d, Got: 2fdf
Checksum failed. Expected: 1d7a, Got: 326e
Checksum failed. Expected: 8137, Got: 34fd
Checksum failed. Expected: 325a, Got: 378d
Checksum failed. Expected: 8c93, Got: 3a1c
Checksum failed. Expected: b3b1, Got: 3cac
Checksum failed. Expected: 69f5, Got: 3f3b
Checksum failed. Expected: 13b4, Got: 41ca
Checksum failed. Expected: 402b, Got: 445a
Checksum failed. Expected: 1076, Got: 46e9
Checksum failed. Expected: f5d5, Got: 4978
Checksum failed. Expected: 04eb, Got: 4c08
Checksum failed. Expected: 4f7f, Got: 4e97
Checksum failed. Expected: b88a, Got: 5126
Checksum failed. Expected: 1926, Got: 53b6
Checksum failed. Expected: 07d2, Got: 5645
Checksum failed. Expected: 5066, Got: 58d4
Checksum failed. Expected: 134f, Got: 5b64
Checksum failed. Expected: 3520, Got: 5df3
Checksum failed. Expected: 0061, Got: 6083
Checksum failed. Expected: 3d5b, Got: 6312
Checksum failed. Expected: 54c9, Got: 65a1
Checksum failed. Expected: c637, Got: 6831
Checksum failed. Expected: f16b, Got: 6ac0
Checksum failed. Expected: 32be, Got: 6d4f
Checksum failed. Expected: 8af7, Got: 6fdf
Checksum failed. Expected: 4fe0, Got: 726e
Checksum failed. Expected: 15d3, Got: 74fd
Checksum failed. Expected: 1987, Got: 778d
Checksum failed. Expected: 2887, Got: 7a1c
Checksum failed. Expected: 98c8, Got: 7cac
Checksum failed. Expected: 877f, Got: 7f3b
Checksum failed. Expected: fe0d, Got: 81ca
Checksum failed. Expected: 5231, Got: 845a
Checksum failed. Expected: d422, Got: 86e9
Checksum failed. Expected: a38f, Got: 8978
Checksum failed. Expected: ccc3, Got: 8c08
Checksum failed. Expected: c2b0, Got: 8e97
Checksum failed. Expected: 5589, Got: 9126
Checksum failed. Expected: cf38, Got: 93b6
Checksum failed. Expected: 7095, Got: 9645
Checksum failed. Expected: 7969, Got: 98d4
Checksum failed. Expected: 49e1, Got: 9b64
Checksum failed. Expected: 8f3e, Got: 9df3
Checksum failed. Expected: ce7b, Got: a083
Checksum failed. Expected: d94f, Got: a312
Checksum failed. Expected: 8845, Got: a5a1
Checksum failed. Expected: 6a83, Got: a831
Checksum failed. Expected: 5923, Got: aac0
Checksum failed. Expected: 1d17, Got: ad4f
Checksum failed. Expected: e30a, Got: afdf
Checksum failed. Expected: 091e, Got: b26e
Checksum failed. Expected: 367e, Got: b4fd
Checksum failed. Expected: 8cb8, Got: b78d
Checksum failed. Expected: 7516, Got: ba1c
Checksum failed. Expected: 09e3, Got: bcac
Checksum failed. Expected: 5df1, Got: bf3b
Checksum failed. Expected: 95ca, Got: c1ca
Checksum failed. Expected: 3748, Got: c45a
Checksum failed. Expected: e307, Got: c6e9
Checksum failed. Expected: 47db, Got: c978
Checksum failed. Expected: bf74, Got: cc08
Checksum failed. Expected: 06dc, Got: ce97
Checksum failed. Expected: 4a50, Got: d126
Checksum failed. Expected: 4374, Got: d3b6
Checksum failed. Expected: ea13, Got: d645
Checksum failed. Expected: f1d1, Got: d8d4
Checksum failed. Expected: 87cb, Got: db64
Checksum failed. Expected: a039, Got: ddf3
Checksum failed. Expected: 6a6f, Got: e083
Checksum failed. Expected: 7543, Got: e312
Checksum failed. Expected: f213, Got: e5a1
Checksum failed. Expected: 6ffa, Got: e831
Checksum failed. Expected: 91cb, Got: eac0
Checksum failed. Expected: 5193, Got: ed4f
Checksum failed. Expected: b97c, Got: efdf
Checksum failed. Expected: 2ef5, Got: f26e
Checksum failed. Expected: 5b55, Got: f4fd
Checksum failed. Expected: 9fc9, Got: f78d
Checksum failed. Expected: f902, Got: fa1c
Checksum failed. Expected: e381, Got: fcac
Checksum failed. Expected: 172f, Got: ff3b
Checksum failed. Expected: fc6d, Got: 01ca
Checksum failed. Expected: 666b, Got: 045a
Checksum failed. Expected: 582c, Got: 06e9
Checksum failed. Expected: e08c, Got: 0978
Checksum failed. Expected: 96cf, Got: 0c08
Checksum failed. Expected: 962a, Got: 0e97
Checksum failed. Expected: be6a, Got: 1126
Checksum failed. Expected: e47d, Got: 13b6
Checksum failed. Expected: dfb8, Got: 1645
Checksum failed. Expected: 2636, Got: 18d4
Checksum failed. Expected: 9799, Got: 1b64
Checksum failed. Expected: 8b70, Got: 1df3
Checksum failed. Expected: 902f, Got: 2083
Checksum failed. Expected: 306a, Got: 2312
Checksum failed. Expected: 0b44, Got: 25a1
Checksum failed. Expected: b730, Got: 2831
Checksum failed. Expected: 972b, Got: 2ac0
Checksum failed. Expected: cae4, Got: 2d4f
Checksum failed. Expected: c83f, Got: 2fdf
Checksum failed. Expected: 624f, Got: 326e
Checksum failed. Expected: 230b, Got: 34fd
Checksum failed. Expected: 4509, Got: 378d
Checksum failed. Expected: addc, Got: 3a1c
Checksum failed. Expected: d4fa, Got: 3cac
Checksum failed. Expected: 3efa, Got: 3f3b
Checksum failed. Expected: b372, Got: 41ca
Checksum failed. Expected: 195c, Got: 445a
Checksum failed. Expected: 92ea, Got: 46e9
Checksum failed. Expected: c06c, Got: 4978
Checksum failed. Expected: 47aa, Got: 4c08
Checksum failed. Expected: bc0c, Got: 4e97
Checksum failed. Expected: 9808, Got: 5126
Checksum failed. Expected: 4d40, Got: 53b6
Checksum failed. Expected: ce3d, Got: 5645
Checksum failed. Expected: 5ab2, Got: 58d4
Checksum failed. Expected: 0167, Got: 5b64
Checksum failed. Expected: 9d76, Got: 5df3
Checksum failed. Expected: 7ea9, Got: 6083
Checksum failed. Expected: 32c0, Got: 6312
Checksum failed. Expected: e1b6, Got: 65a1
Checksum failed. Expected: 811e, Got: 6831
Checksum failed. Expected: 5ef8, Got: 6ac0
Checksum failed. Expected: 9e40, Got: 6d4f
Checksum failed. Expected: 2473, Got: 6fdf
Checksum failed. Expected: ea67, Got: 726e
Checksum failed. Expected: edf9, Got: 74fd
Checksum failed. Expected: 1323, Got: 778d
Checksum failed. Expected: c203, Got: 7a1c
Checksum failed. Expected: db87, Got: 7cac
Checksum failed. Expected: cb49, Got: 7f3b
Checksum failed. Expected: a72e, Got: 81ca
Checksum failed. Expected: c2df, Got: 845a
Checksum failed. Expected: b395, Got: 86e9
Checksum failed. Expected: 8f91, Got: 8978
Checksum failed. Expected: 77fa, Got: 8c08
Checksum failed. Expected: 4745, Got: 8e97
Checksum failed. Expected: d3d1, Got: 9126
Checksum failed. Expected: 6588, Got: 93b6
Checksum failed. Expected: bcb7, Got: 9645
Checksum failed. Expected: a315, Got: 98d4
Checksum failed. Expected: 1ddb, Got: 9b64
Checksum failed. Expected: 9ba0, Got: 9df3
Checksum failed. Expected: c817, Got: a083
Checksum failed. Expected: dd59, Got: a312
Checksum failed. Expected: 4a79, Got: a5a1
Checksum failed. Expected: 9fa8, Got: a831
Checksum failed. Expected: 3fe3, Got: aac0
Checksum failed. Expected: bdd5, Got: ad4f
Checksum failed. Expected: 5f3c, Got: afdf
Checksum failed. Expected: e67b, Got: b26e
Checksum failed. Expected: 3a88, Got: b4fd
Checksum failed. Expected: 8b8b, Got: b78d
Checksum failed. Expected: 3855, Got: ba1c
Checksum failed. Expected: 38c6, Got: bcac
Checksum failed. Expected: 071d, Got: bf3b
Checksum failed. Expected: b3f2, Got: c1ca
Checksum failed. Expected: e174, Got: c45a
Checksum failed. Expected: a21a, Got: c6e9
Checksum failed. Expected: 2117, Got: c978
Checksum failed. Expected: 5b06, Got: cc08
Checksum failed. Expected: 8a66, Got: ce97
Checksum failed. Expected: 86c2, Got: d126
Checksum failed. Expected: a47d, Got: d3b6
Checksum failed. Expected: 3635, Got: d645
Checksum failed. Expected: f8fc, Got: d8d4
Checksum failed. Expected: 9fb1, Got: db64
Checksum failed. Expected: 83d8, Got: ddf3
Checksum failed. Expected: a8f7, Got: e083
Checksum failed. Expected: 3ec4, Got: e312
Checksum failed. Expected: 64d7, Got: e5a1
Checksum failed. Expected: 41de, Got: e831
Checksum failed. Expected: 5b57, Got: eac0
Checksum failed. Expected: eb0f, Got: ed4f
Checksum failed. Expected: 7fdc, Got: efdf
Checksum failed. Expected: a91c, Got: f26e
Checksum failed. Expected: 3bd3, Got: f4fd
Checksum failed. Expected: 2aa0, Got: f78d
Checksum failed. Expected: da8b, Got: fa1c
Checksum failed. Expected: c941, Got: fcac
Checksum failed. Expected: 0b89, Got: ff3b
Checksum failed. Expected: de01, Got: 01ca
Checksum failed. Expected: 051e, Got: 045a
Checksum failed. Expected: 9d01, Got: 06e9
