
#################################################################
Log started at 2025-06-12_15-16-08 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: d78e, Got: 85a0
Checksum failed. Expected: 62db, Got: 13f7
Checksum failed. Expected: dca1, Got: 1687
Checksum failed. Expected: d5af, Got: 1916
Checksum failed. Expected: 9776, Got: 1ba5
Checksum failed. Expected: e984, Got: 1e35
Checksum failed. Expected: 58a4, Got: 20c4
Checksum failed. Expected: 8e7e, Got: 2353
Checksum failed. Expected: e4a1, Got: 25e3
Checksum failed. Expected: 3699, Got: 2872
Checksum failed. Expected: fb81, Got: 2b02
Checksum failed. Expected: 84bf, Got: 2d91
Checksum failed. Expected: 2853, Got: 3020
Checksum failed. Expected: 0438, Got: 32b0
Checksum failed. Expected: 5525, Got: 353f
Checksum failed. Expected: 56a1, Got: 37ce
Checksum failed. Expected: 5413, Got: 3a5e
Checksum failed. Expected: bf07, Got: 3ced
Checksum failed. Expected: 3f0f, Got: 3f7c
Checksum failed. Expected: bef5, Got: 420c
Checksum failed. Expected: 324c, Got: 449b
Checksum failed. Expected: b896, Got: 472b
Checksum failed. Expected: 1f5e, Got: 49ba
Checksum failed. Expected: 4bca, Got: 4c49
Checksum failed. Expected: c78f, Got: 4ed9
Checksum failed. Expected: 9907, Got: 5168
Checksum failed. Expected: 4e3f, Got: 53f7
Checksum failed. Expected: d594, Got: 5687
Checksum failed. Expected: 5785, Got: 5916
Checksum failed. Expected: d029, Got: 5ba5
Checksum failed. Expected: 4297, Got: 5e35
Checksum failed. Expected: be46, Got: 60c4
Checksum failed. Expected: 511f, Got: 6353
Checksum failed. Expected: 10c5, Got: 65e3
Checksum failed. Expected: 9f5c, Got: 6872
Checksum failed. Expected: 063a, Got: 6b02
Checksum failed. Expected: 4760, Got: 6d91
Checksum failed. Expected: e8d3, Got: 7020
Checksum failed. Expected: f4c8, Got: 72b0
Checksum failed. Expected: 6c62, Got: 753f
Checksum failed. Expected: 85e6, Got: 77ce
Checksum failed. Expected: b689, Got: 7a5e
Checksum failed. Expected: ea20, Got: 7ced
Checksum failed. Expected: 4bd3, Got: 7f7c
Checksum failed. Expected: 7b54, Got: 820c
Checksum failed. Expected: d377, Got: 849b
Checksum failed. Expected: d941, Got: 872b
Checksum failed. Expected: 163b, Got: 89ba
Checksum failed. Expected: 76e3, Got: 8c49
Checksum failed. Expected: 25d9, Got: 8ed9
Checksum failed. Expected: 3d53, Got: 9168
Checksum failed. Expected: 0346, Got: 93f7
Checksum failed. Expected: 3b36, Got: 9687
Checksum failed. Expected: 54a4, Got: 9916
Checksum failed. Expected: fe63, Got: 9ba5
Checksum failed. Expected: b2a7, Got: 9e35
Checksum failed. Expected: fe46, Got: a0c4
Checksum failed. Expected: 0305, Got: a353
Checksum failed. Expected: 6cf9, Got: a5e3
Checksum failed. Expected: 683f, Got: a872
Checksum failed. Expected: d880, Got: ab02
Checksum failed. Expected: c3f4, Got: ad91
Checksum failed. Expected: 3fd0, Got: b020
Checksum failed. Expected: af11, Got: b2b0
Checksum failed. Expected: b2a4, Got: b53f
Checksum failed. Expected: a586, Got: b7ce
Checksum failed. Expected: f152, Got: ba5e
Checksum failed. Expected: 1d91, Got: bced
Checksum failed. Expected: 0f7f, Got: bf7c
Checksum failed. Expected: c8e3, Got: c20c
Checksum failed. Expected: cd75, Got: c49b
Checksum failed. Expected: 8d3d, Got: c72b
Checksum failed. Expected: aced, Got: c9ba
Checksum failed. Expected: 0eab, Got: cc49
Checksum failed. Expected: b43e, Got: ced9
Checksum failed. Expected: 4f59, Got: d168
Checksum failed. Expected: e85d, Got: d3f7
Checksum failed. Expected: 2ee7, Got: d687
Checksum failed. Expected: 21b3, Got: d916
Checksum failed. Expected: 32df, Got: dba5
Checksum failed. Expected: 9392, Got: de35
Checksum failed. Expected: f1f7, Got: e0c4
Checksum failed. Expected: 10d4, Got: e353
Checksum failed. Expected: 3e3f, Got: e5e3
Checksum failed. Expected: bc1b, Got: e872
Checksum failed. Expected: 863a, Got: eb02
Checksum failed. Expected: 5dd2, Got: ed91
Checksum failed. Expected: 38c3, Got: f020

Exiting...
